PERMNO,date,RET,sprtrn
33910,1964-11-10,0.023256,-0.004108
33910,1964-11-11,0.045455,0.002829
33910,1964-11-12,0.000000,0.001293
33910,1964-11-13,-0.021739,0.000235
33910,1964-11-16,0.000000,0.005164
33910,1964-11-17,0.000000,0.004437
33910,1964-11-18,0.000000,0.002209
33910,1964-11-19,0.000000,-0.000464
33910,1964-11-20,-0.011111,0.001160
33910,1964-11-23,-0.011236,-0.003245
33910,1964-11-24,-0.045455,-0.003140
33910,1964-11-25,0.023810,-0.003383
33910,1964-11-27,-0.046512,-0.003277
33910,1964-11-30,0.000000,-0.008690
33910,1964-12-01,-0.024390,-0.010306
33910,1964-12-02,-0.025000,0.002873
33910,1964-12-03,0.025641,0.004654
33910,1964-12-04,-0.025000,0.002019
33910,1964-12-07,-0.076923,-0.000237
33910,1964-12-08,-0.055556,-0.003913
33910,1964-12-09,-0.088235,-0.006429
33910,1964-12-10,0.032258,-0.000120
33910,1964-12-11,0.125000,0.002516
33910,1964-12-14,-0.027778,-0.002510
33910,1964-12-15,0.000000,-0.002756
33910,1964-12-16,-0.028571,0.003965
33910,1964-12-17,0.000000,0.004189
33910,1964-12-18,0.000000,0.004648
33910,1964-12-21,0.000000,0.001068
33910,1964-12-22,-0.029412,-0.000593
33910,1964-12-23,-0.030303,-0.002134
33910,1964-12-24,0.031250,0.000000
33910,1964-12-28,-0.030303,-0.000951
33910,1964-12-29,0.000000,-0.003093
33910,1964-12-30,-0.031250,0.005847
33910,1964-12-31,0.032258,0.005338
33910,1965-01-04,0.125000,-0.006136
33910,1965-01-05,-0.027778,0.004749
33910,1965-01-06,0.057143,0.003072
33910,1965-01-07,-0.027027,0.004359
33910,1965-01-08,0.027778,0.001290
33910,1965-01-11,-0.027027,0.000351
33910,1965-01-12,0.027778,0.002459
33910,1965-01-13,-0.027027,0.002687
33910,1965-01-14,0.083333,0.000000
33910,1965-01-15,0.000000,0.004310
33910,1965-01-18,-0.076923,0.003248
33910,1965-01-19,0.027778,0.001619
33910,1965-01-20,0.027027,-0.000346
33910,1965-01-21,-0.026316,-0.000924
33910,1965-01-22,0.000000,0.002543
33910,1965-01-25,0.000000,0.001383
33910,1965-01-26,0.027027,0.000921
33910,1965-01-27,-0.026316,0.003336
33910,1965-01-28,-0.027027,0.002866
33910,1965-01-29,0.000000,0.000914
33910,1965-02-01,-0.027778,0.000228
33910,1965-02-02,-0.028571,-0.000343
33910,1965-02-03,0.058824,0.000914
33910,1965-02-04,-0.083333,-0.000685
33910,1965-02-05,0.030303,-0.003197
33910,1965-02-08,0.000000,-0.003895
33910,1965-02-09,0.058824,0.003335
33910,1965-02-10,-0.083333,-0.008941
33910,1965-02-11,-0.030303,-0.010641
33910,1965-02-12,0.062500,0.007365
33910,1965-02-15,-0.029412,-0.001160
33910,1965-02-16,0.030303,-0.004647
33910,1965-02-17,0.000000,0.001167
33910,1965-02-18,-0.058824,0.003265
33910,1965-02-19,0.062500,0.001859
33910,1965-02-23,-0.014706,0.004988
33910,1965-02-24,0.014925,0.006117
33910,1965-02-25,-0.058824,0.000344
