caldt,vwretd
1929-04-25,-0.005871
1929-04-26,-0.000720
1929-04-27,0.005577
1929-04-29,-0.005120
1929-04-30,0.016551
1929-05-01,0.001561
1929-05-02,0.001777
1929-05-03,0.007686
1929-05-04,0.003235
1929-05-06,-0.005328
1929-05-07,-0.006598
1929-05-08,0.001230
1929-05-09,-0.005642
1929-05-10,0.011816
1929-05-11,-0.003090
1929-05-13,-0.021362
1929-05-14,0.009017
1929-05-15,-0.003136
1929-05-16,0.001228
1929-05-17,0.004982
1929-05-18,-0.001630
1929-05-20,-0.019577
1929-05-21,0.000820
1929-05-22,-0.031723
1929-05-23,0.015584
1929-05-24,-0.004595
1929-05-25,-0.003587
1929-05-27,-0.032055
1929-05-28,0.011319
1929-05-29,0.001251
1929-05-31,0.005960
1929-06-01,0.006239
1929-06-03,0.012999
1929-06-04,0.014215
1929-06-05,-0.002690
1929-06-06,0.002763
1929-06-07,-0.004461
1929-06-08,-0.003296
1929-06-10,-0.005097
1929-06-11,0.004182
1929-06-12,0.000241
1929-06-13,0.012566
1929-06-14,0.003406
1929-06-15,0.003338
1929-06-17,0.012277
1929-06-18,0.001674
1929-06-19,-0.006128
1929-06-20,0.004343
1929-06-21,0.006929
1929-06-22,0.003483
1929-06-24,-0.001991
1929-06-25,0.008096
1929-06-26,0.005827
1929-06-27,0.000593
1929-06-28,0.009239
1929-06-29,0.008465
1929-07-01,0.003824
1929-07-02,0.011225
1929-07-03,0.003173
1929-07-05,0.004913
1929-07-06,0.001812
1929-07-08,0.000469
1929-07-09,0.001080
1929-07-10,-0.003102
1929-07-11,0.002558
1929-07-12,0.009241
1929-07-13,0.004300
1929-07-15,-0.004456
1929-07-16,0.004613
1929-07-17,0.002928
1929-07-18,-0.001134
1929-07-19,0.003310
1929-07-20,0.001577
1929-07-22,-0.011482
1929-07-23,0.010417
1929-07-24,-0.005148
1929-07-25,0.005258
1929-07-26,-0.004056
1929-07-27,-0.004225
1929-07-29,-0.011460
1929-07-30,0.009127
1929-07-31,0.010840
1929-08-01,0.008133
1929-08-02,0.009072
1929-08-03,0.005843
1929-08-05,-0.006064
1929-08-06,-0.004402
1929-08-07,-0.010026
1929-08-08,0.009281
1929-08-09,-0.035943
1929-08-10,0.016319
1929-08-12,0.014823
1929-08-13,0.006870
1929-08-14,0.001395
1929-08-15,0.003104
1929-08-16,0.017863
1929-08-17,0.002718
1929-08-19,0.005004
1929-08-20,0.003405
1929-08-21,-0.003643
1929-08-22,0.008423
1929-08-23,0.009370
1929-08-24,0.002388
1929-08-26,-0.000158
1929-08-27,-0.000740
1929-08-28,-0.000026
1929-08-29,0.008430
1929-08-30,0.010855
1929-09-03,0.003740
1929-09-04,-0.005349
1929-09-05,-0.018895
1929-09-06,0.020616
1929-09-07,0.003280
1929-09-09,-0.005819
1929-09-10,-0.017014
1929-09-11,0.012190
1929-09-12,-0.009747
1929-09-13,0.002631
1929-09-14,0.002807
1929-09-16,0.010157
1929-09-17,-0.006089
1929-09-18,0.004555
1929-09-19,0.000723
1929-09-20,-0.008555
